Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2733","Viande de Suides","2017","2017","Kcal/personne/jour","43","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de Suides","2017","2017","g/personne/jour","1.12","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","143","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2735","Viande, Autre","2017","2017","Kcal/personne/jour","2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.34","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2736","Abats Comestible","2017","2017","Kcal/personne/jour","17","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","2.71","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2740","Beurre, Ghee","2017","2017","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2740","Beurre, Ghee","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2743","Crème","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2743","Crème","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2737","Graisses Animales Crue","2017","2017","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2737","Graisses Animales Crue","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2781","Huiles de Poissons","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2781","Huiles de Poissons","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2744","Oeufs","2017","2017","Kcal/personne/jour","26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2744","Oeufs","2017","2017","g/personne/jour","2.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2848","Lait - Excl Beurre","2017","2017","Kcal/personne/jour","82","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2848","Lait - Excl Beurre","2017","2017","g/personne/jour","4.94","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2761","Poissons Eau Douce","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2761","Poissons Eau Douce","2017","2017","g/personne/jour","0.06","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2762","Perciform","2017","2017","Kcal/personne/jour","2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2762","Perciform","2017","2017","g/personne/jour","0.49","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2017","2017","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","0.91","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2764","Poissons Marins, Autres","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2764","Poissons Marins, Autres","2017","2017","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2765","Crustacés","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2765","Crustacés","2017","2017","g/personne/jour","0.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2766","Cephalopodes","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2766","Cephalopodes","2017","2017","g/personne/jour","0.06","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2767","Mollusques, Autres","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2767","Mollusques, Autres","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2775","Plantes Aquatiques","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2775","Plantes Aquatiques","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2731","Viande de Bovins","2017","2017","Kcal/personne/jour","65","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","6.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","Kcal/personne/jour","48","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","3.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2733","Viande de Suides","2017","2017","Kcal/personne/jour","64","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de Suides","2017","2017","g/personne/jour","2.17","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","85","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","6.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2735","Viande, Autre","2017","2017","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2736","Abats Comestible","2017","2017","Kcal/personne/jour","18","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","2.65","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2740","Beurre, Ghee","2017","2017","Kcal/personne/jour","36","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2740","Beurre, Ghee","2017","2017","g/personne/jour","0.04","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2743","Crème","2017","2017","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2743","Crème","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2737","Graisses Animales Crue","2017","2017","Kcal/personne/jour","36","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2737","Graisses Animales Crue","2017","2017","g/personne/jour","0.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2781","Huiles de Poissons","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2781","Huiles de Poissons","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2782","Huiles de Foie de Poisso","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2744","Oeufs","2017","2017","Kcal/personne/jour","55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2744","Oeufs","2017","2017","g/personne/jour","4.32","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2848","Lait - Excl Beurre","2017","2017","Kcal/personne/jour","676","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2848","Lait - Excl Beurre","2017","2017","g/personne/jour","39.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2761","Poissons Eau Douce","2017","2017","Kcal/personne/jour","2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2761","Poissons Eau Douce","2017","2017","g/personne/jour","0.25","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2762","Perciform","2017","2017","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2762","Perciform","2017","2017","g/personne/jour","0.24","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2017","2017","Kcal/personne/jour","4","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","0.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2764","Poissons Marins, Autres","2017","2017","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2764","Poissons Marins, Autres","2017","2017","g/personne/jour","0.21","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2765","Crustacés","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2765","Crustacés","2017","2017","g/personne/jour","0.1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2766","Cephalopodes","2017","2017","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2766","Cephalopodes","2017","2017","g/personne/jour","0.16","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2767","Mollusques, Autres","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2767","Mollusques, Autres","2017","2017","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2775","Plantes Aquatiques","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2775","Plantes Aquatiques","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2731","Viande de Bovins","2017","2017","Kcal/personne/jour","23","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","1.95","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","Kcal/personne/jour","37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","2.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2733","Viande de Suides","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
