Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2805","Riz et produits","2011","2011","Milliers de tonnes","16298","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2805","Riz et produits","2011","2011","Milliers de tonnes","371185","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz et produits","2011","2011","kg","54.2","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2805","Riz et produits","2011","2011","Kcal/personne/jour","545","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2805","Riz et produits","2011","2011","g/personne/jour","10.23","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2805","Riz et produits","2011","2011","g/personne/jour","1.51","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2513","Orge et produits","2011","2011","Milliers de tonnes","131774","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2513","Orge et produits","2011","2011","Milliers de tonnes","33096","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2513","Orge et produits","2011","2011","Milliers de tonnes","2326","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2513","Orge et produits","2011","2011","Milliers de tonnes","35079","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2513","Orge et produits","2011","2011","Milliers de tonnes","132117","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2513","Orge et produits","2011","2011","Milliers de tonnes","85813","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2513","Orge et produits","2011","2011","Milliers de tonnes","8540","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2513","Orge et produits","2011","2011","Milliers de tonnes","4258","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2513","Orge et produits","2011","2011","Milliers de tonnes","25929","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2513","Orge et produits","2011","2011","Milliers de tonnes","818","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2513","Orge et produits","2011","2011","Milliers de tonnes","6764","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge et produits","2011","2011","kg","0.99","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2513","Orge et produits","2011","2011","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2513","Orge et produits","2011","2011","g/personne/jour","0.2","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2513","Orge et produits","2011","2011","g/personne/jour","0.03","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2514","Maïs et produits","2011","2011","Milliers de tonnes","885587","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2514","Maïs et produits","2011","2011","Milliers de tonnes","111107","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2514","Maïs et produits","2011","2011","Milliers de tonnes","-6946","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2514","Maïs et produits","2011","2011","Milliers de tonnes","114579","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2514","Maïs et produits","2011","2011","Milliers de tonnes","875169","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2514","Maïs et produits","2011","2011","Milliers de tonnes","482997","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2514","Maïs et produits","2011","2011","Milliers de tonnes","6533","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2514","Maïs et produits","2011","2011","Milliers de tonnes","35039","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2514","Maïs et produits","2011","2011","Milliers de tonnes","47397","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2514","Maïs et produits","2011","2011","Milliers de tonnes","182796","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2514","Maïs et produits","2011","2011","Milliers de tonnes","120408","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs et produits","2011","2011","kg","17.58","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2514","Maïs et produits","2011","2011","Kcal/personne/jour","145","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2514","Maïs et produits","2011","2011","g/personne/jour","3.51","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2514","Maïs et produits","2011","2011","g/personne/jour","1.24","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2515","Seigle et produits","2011","2011","Milliers de tonnes","13018","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2515","Seigle et produits","2011","2011","Milliers de tonnes","1550","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2515","Seigle et produits","2011","2011","Milliers de tonnes","-161","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2515","Seigle et produits","2011","2011","Milliers de tonnes","1572","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2515","Seigle et produits","2011","2011","Milliers de tonnes","12835","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2515","Seigle et produits","2011","2011","Milliers de tonnes","4532","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2515","Seigle et produits","2011","2011","Milliers de tonnes","1221","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2515","Seigle et produits","2011","2011","Milliers de tonnes","489","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2515","Seigle et produits","2011","2011","Milliers de tonnes","785","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2515","Seigle et produits","2011","2011","Milliers de tonnes","40","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2515","Seigle et produits","2011","2011","Milliers de tonnes","5768","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle et produits","2011","2011","kg","0.84","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2515","Seigle et produits","2011","2011","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2515","Seigle et produits","2011","2011","g/personne/jour","0.17","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2515","Seigle et produits","2011","2011","g/personne/jour","0.03","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2516","Avoine","2011","2011","Milliers de tonnes","22367","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
